runids hlt
76de94b6480ee72db547f1e1f3b090b4f35160ff 29815.9412375065
7ae8a53416f7eb08eb295cd9c007b327838c334d 26504.243806757
28f7b35494dc8230c44492bf53a9ca4584b14366 23968.8907240625
5264669b09fd65ad6d7820c9bdf0269fde0f79b0 NA
a1a31dd8fcaafc30c854e3be122cfc4789e863f0 39298.4785031607
e28fc4b710c55b8a4086787fcb47ffffa22cd8ac 29861.2446330712
04f0fb175d6e5c2a2165fb445159108c0bcef189 80966.5195124355
55da5dcff2571ce1c7b2c5c20b0860e2016d6456 20692.5040178262
e1b7b6ab2c58114e4d901861fa523e6c87153776 212662.13670129
05586d0b1ca9c9f70605cb232e895cd070eb0d0a 61799.6964607969
e76dec28febeb36d1b3b8ddf00f44478d1d67f40 43478.8343098819
e7480aee037c77c810524fae782412f6296ce11d 22487.8391431865
9ea0e9e47863c42e2d0daf7072e613c066dc1f75 172071.446230385
913ac4436361e0d80301afd7fff97ddc7465156e 64462.6378278163
ae6279cdc9c82539a47bd4e2d4bc3e0721b27961 46809.6012425499
0a15f609864f7649c8af7bf0b5299f37beb1c7a4 37987.9977525798
3fc7ad7ef77c5d12ec7756dda5a041c4356ef0ed 22675.1826129826
0c5fdfbf3d94b8bd3ef8a6410aeacd709d31a065 24856.217
7cb7986359d02645c795e1af076e0434b2f766d5 21231.1976150401
4a2bc3bc34e79475a5c60baf41c92706244d83eb 50912.8573827044
5f2b500fc895a82a0b1c46973ed52336053765fc NA
abc0e22dc97178ce27c4bd5ea3637753210958af 60418.476751341
f1e81576f0b109ea766bffdb48680fffc436a8f2 28510.223072965
baf2560fdc84bec866b7971aef55cb084f7d44e4 20240.8654998901
0e9fbb3d917aa535544548a7e7431759afdaba7f 32740.4841696808
79f552a550a5a4739fd855c2f4455f39ad20a431 23105.239514817
8f34c278b2dfd7488d4674b3fb81b0d22ad7fc2b 44171.3411911751
d563056ae5cb069520efdbb98fb7e0275e9df25b 28474.3555277674
c5c138ce93fc06cd1af205d03db99663d9dc1f90 18527.4774493329
e7b69687f99b3e7e2b61045b741a8b171397402a 30142.9754432008
13c1c30c8c87ce0a31aa72da756d8a8837feb53e 6924.68492759633
704d44ae5fcda792c45a0b7cef8d09986c7f234e 28288.737691292
0958487c7f88195098c1c30ae92669597a6483aa 25210.7291934656
6911f409160d2cbb9bf2ffaaf677087e4f8c1e36 36381.8470945853
a972db415fd56c6ed95092aed8c57f377d2c0807 15655.1933108822
68dad87a77b73251a225c69a93210f7e9707c687 46088.4854930271
e9f61e7442c7300752354732a1d4a269af01858f 9595.34433953949
1c8a88f0cc6d59fabeec9682c6d9d701f4ae651c 15166.4649783835
a1edf61f3dd98b6322dfc1f17be5321dc03529bf 55031.5750549155
d475509bcc5b7b54d9d4d98e002e38c8f36b7cdd 58129.8875399787
b3ef468b9ca9e7c42545ccf99e15356458dea688 149645.457315341
0b34ac82709c3bf32ba809b11cb63d9cad9ab590 56321.525391693
444b1a027d81479c4fb46ffe56622a28b8c626f3 17736.1667733495
30f25e04af5992effc0fa4cdb93541e87e3d7033 49724.0385828457
86a9de2c334d8b76c59bd78c731c72780562fddc 67117.4537010584
5f238fbb20c8c11bad2075218d85616910c2f608 90485.1193542427
de82346af1ad703794576d2fa77cc7e3b2e9a8ca 18769.537285823
ec7d278162a08efd3f0f5ccf917ba9478a3b0c68 70422.8556968491
f98eaa924e6dd6b694becd0da64f41ec04f19430 79941.2540622688
c549beb72884e14decd50e4cc1437c54bfc392fc 69327.294084748
caf994f125a585adb2b396131debd9fa7d864939 75427.6155605609
21619bb0b1ed9c7c19af41428c0594929ff461fb 84488.4992226411
c7bfd91369bb61c33487a6a4bdceb481c101de4e 64720.5656051022
4197e66567ab01c9100107620f1513a504f77666 100414.333185019
1e7191ffab7f760aa03c747def4136f00440678e 128703.249609394
d8da54831f75d97bfafc61c1459830d96858ee88 84581.2550403742
35d2774dd048773aff73baf27bd680b41f3141ed 121797.018946542
0fb9f111711824ff420dc02d617eec0654d4af22 32182.4556624739
316a8055bdfdf10212e9397a650b86a1bbead182 75418.8754601099
4746a3cf0284869b8f6787bdf3a333e5bcd5eb1b 16897.0287810651
05889116107ede863861d0f3f1870f77bbad833c 100967.395777323
d6dafeb089aa2ed57fdb20aa9c8729bcc668e674 59333.8620811541
b2c9d8ec1250a5e8de1b58a8ca58140635f75558 118667.448756508
e38fdb1d809b0c7bb03203d025607102a46931ff 36286.1166632454
a642a5e78167d90779629bc43d9e3dae3e0fb09b 20970.013
c94fee4e45bd1900298c969a4a9f4f77b4465575 37242.7498343156
2b158b6f05ff69a4e106a2c0cd6a27d4a9733d67 126544.192061816
15393b67b635d608574370529b0a4bd1591cefca 173114.070846826
9bc2fa615ac2700e8966b8ffb88033135f18c7f5 104312.320751523
bdfdc2cec64118dc6e8e30fa1592c409d8241b20 159245.405036927
e0781d96abb55f58d1b5dc9e957b0bb40072c42e 37389.0806798905
507a2b2eef7ac910659bc3caf5520c2fbe5417c5 138838.761449304
15469b8ac238c99a1f790e7cd469a40ca19e97ed 145014.933487793
